contributor,family,species,age.yr,a.stba.cm,a.stbh.cm,a.stbc.cm,h.t.m,h.c.m,m.lf.g,m.st.g,m.rf.g,m.rc.g,m.rt.g,lf.ma.g.m2,d.st.g.cm3,n.lf.per,n.ss.per,n.rf.per,n.rc.per,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai.m2.m2,map,mat,reference
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,4.01,3.23,,4.87,,319.29,1391.41,33.09,186.68,219.77,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,2.48,1.94,,2.35,,68.42,239.22,20.95,98.06,119.01,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,2.29,1.78,,2.2,,48.87,239.22,45.22,87.31,132.53,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,2.17,1.67,,1.57,,153.13,205.05,51.47,88.19,139.66,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,1.72,1.3,,2.4,,42.36,131.82,33.09,28.76,61.85,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,1.21,0.87,,1.82,,35.84,73.23,7.35,10.61,17.96,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,1.15,0.82,,1.64,,32.58,24.41,5.51,9.19,14.7,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,28.34,23.25,,23,,6520.77,174177.73,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,25.48,21.34,,22,,5433.97,160349.07,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,21.34,19.11,,22,,2644.53,110734.81,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,16.88,15.92,,21.9,,2789.44,85980.46,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,11.46,10.83,,13.2,,1267.93,24384.88,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,11.46,10.19,,13.3,,1159.25,21534.7,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,11.15,10.19,,19.1,,869.44,32302.05,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,8.6,7.96,,11.8,,253.59,11875.75,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,7.96,7.64,,13.3,,217.36,9289.48,,,,,0.39,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,6.37,6.05,,9.1,,108.68,4539.18,,,,,0.39,,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hosei,mostly less than 20,6.37,5.73,,9.5,,108.68,5858.71,,,,,0.39,,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hypoleuca,mostly less than 20,10.51,9.55,,11.2,,1412.83,14937.06,,,,,0.31,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hypoleuca,mostly less than 20,8.92,7.96,,10.4,,1231.7,11981.32,,,,,0.31,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hypoleuca,mostly less than 20,7.32,7.01,,11,,652.08,8550.54,,,,,0.31,,,,,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga hypoleuca,mostly less than 20,2.53,2.15,,3.6,,105.06,407.47,,,,,0.31,,,,,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga pseudopruinosa,mostly less than 20,2.2,1.7,,3.26,,27.69,202.61,84.55,71.84,156.39,,0.29,,,,,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga trachyphylla,mostly less than 20,5.48,4.46,,7.3,,273.68,4784.49,44.11,329.13,373.24,,0.39,,,0.662,0.29,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga trachyphylla,mostly less than 20,4.14,3.34,1.66,6.57,,39.1,1074.07,55.14,317.41,372.55,,0.39,,,0.662,0.29,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga winkleri,mostly less than 20,11.78,,3.76,19.55,2.35,316.2,5888,,,,,0.39,4.507,,0.769,0.378,EA,FW,3,,,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga winkleri,mostly less than 20,5.54,4.51,2.93,6.26,,276.94,1532.99,198.51,405.71,604.22,,0.39,4.507,,0.769,0.378,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga winkleri,mostly less than 20,3.3,2.45,,3.83,,209.14,1464.31,,,,,0.39,4.507,,0.769,0.378,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Mallotus sp.,mostly less than 20,2.7,2.2,,2.62,,67.02,441.25,,,,49.54,0.53,3.388,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Mallotus sp.,mostly less than 20,2.3,1.8,,3.85,,44.92,321.44,,,,49.54,0.53,3.388,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Mallotus sp.,mostly less than 20,1.45,1.1,,2.43,,25.72,106.09,,,,49.54,0.53,3.388,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Mallotus sp.,mostly less than 20,0.7,0.35,,1.52,,1.27,16.89,,,,49.54,0.53,3.388,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Loganiaceae,Fagraea racemosa,mostly less than 20,5.89,4.81,,4.8,,684.2,3515.14,22.06,1010.56,1032.62,61.5,,1.728,0.386,,0.243,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Melastomataceae,Melastoma malabathricum,mostly less than 20,0.57,,,0.4,,4.07,4.18,0.83,1.13,1.96,48.36,0.44,2.708,,,,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Melastomataceae,Melastoma malabathricum,mostly less than 20,0.51,,,0.9,,2.73,6.53,1,0.98,1.98,48.36,0.44,2.708,,,,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Melastomataceae,Melastoma malabathricum,mostly less than 20,0.3,,,0.31,,1.6,0.73,0.33,0,0.33,48.36,0.44,2.708,,,,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Moraceae,Artocarpus elasticus,mostly less than 20,4.1,3.7,,3.2,,272.79,1933.9,,,,64.58,0.3,2.578,,,,EA,FW,1,Open condition (road side),,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Moraceae,Artocarpus sp.,mostly less than 20,4.59,3.71,,5.65,,407.26,2948.81,51.47,1073.31,1124.78,56.62,0.43,2.446,,,,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Moraceae,Artocarpus sp.,mostly less than 20,2.17,1.67,,2.55,,48.87,190.4,25.73,62.9,88.63,56.62,0.43,2.446,,,,EA,FW,1,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Moraceae,Artocarpus sp.,mostly less than 20,0.44,,,0.42,,3.19,2.22,1.25,0,1.25,56.62,0.43,2.446,,,,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
